id,uni,course,minTariff,maxTariff,postcode,minALevel,maxALevel
168,City of Liverpool College University Centre,Computing for England ,0,0,L1 9DW,"['B', 'C', 'C']","['B', 'B', 'C']"
169,Liverpool Hope University,Accounting & Finance ,112,112,L16 9JD,"['B', 'B', 'C']","['B', 'B', 'C']"
170,,,0,0,,"['B', 'B', 'C']","['B', 'B', 'C']"
171,,,0,0,,"['B', 'B', 'C']","['B', 'B', 'C']"
172,University of Liverpool,Accounting and Finance ,136,136,L69 7ZX,"['A', 'A', 'B']","['A', 'A', 'B']"
173,LMA,Acting and Performance ,0,0,L1 6DA,"['A', 'A', 'B']","['A', 'A', 'B']"
174,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
175,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
176,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
177,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
178,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
179,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
180,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
181,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
182,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
183,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
184,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
185,Manchester Metropolitan University,Accounting and Finance ,104,104,M15 6BH,"['B', 'C', 'C']","['B', 'C', 'C']"
186,University of Manchester,Accounting ,144,144,M13 9PL,"['A', 'A', 'A']","['A', 'A', 'A']"
187,University of Greater Manchester,Accountancy ,0,0,BL3 5AB,"['A', 'A', 'A']","['A', 'A', 'A']"
188,McTimoney College of Chiropractic,Master of Chiropractic (MChiro) ,96,96,OX14 1BZ,"['C', 'C', 'C']","['C', 'C', 'C']"
189,Medway School of Pharmacy,Pharmacy (MPharm) ,128,128,ME4 4TB,"['A', 'B', 'B']","['A', 'B', 'B']"
190,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
191,Middlesex University,3D Animation for Games and Film ,0,0,NW4 4BT,"['A', 'B', 'B']","['A', 'B', 'B']"
192,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
193,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
194,Morley College London,BA (Hons) Creative Practice: Ceramics ,0,0,SE1 7HT,"['A', 'B', 'B']","['A', 'B', 'B']"
195,Moulton College,Animal Behavioural  Science & Welfare ,0,0,NN3 7RR,"['A', 'B', 'B']","['A', 'B', 'B']"
196,University Centre Myerscough,Animal Science and Behaviour ,104,104,PR3 0RY,"['B', 'C', 'C']","['B', 'C', 'C']"
197,Nazarene Theological College,Theology ,0,0,M20 2GU,"['B', 'C', 'C']","['B', 'C', 'C']"
198,,,0,0,,"['B', 'C', 'C']","['B', 'C', 'C']"
199,New Model Institute for Technology and Engineering (NMITE),BEng (Hons) Autonomous Robotics ,96,96,HR4 9HS,"['C', 'C', 'C']","['C', 'C', 'C']"
200,,,0,0,,"['C', 'C', 'C']","['C', 'C', 'C']"
201,,,0,0,,"['C', 'C', 'C']","['C', 'C', 'C']"
202,Newham College of Further Education,Computing ,0,0,E6 6ER,"['C', 'C', 'C']","['C', 'C', 'C']"
203,Norland,Early Childhood Education and Care ,0,0,BA2 3LB,[],[]
204,North Warwickshire and South Leicestershire College,Acting ,0,0,CV11 6BH,[],[]
205,University of Northampton,Accounting and Finance ,112,112,NN1 5PH,"['B', 'B', 'C']","['B', 'B', 'C']"
206,Northeastern University London,Business ,128,128,E1W 1JP,"['A', 'B', 'B']","['A', 'B', 'B']"
207,The Northern School of Art,Acting for Stage and Screen ,96,112,TS24 7EX,"['C', 'C', 'C']","['B', 'B', 'C']"
208,Northumberland College,Animal Welfare & Management (Level 5 FDA) ,0,0,NE63 9RG,"['C', 'C', 'C']","['B', 'B', 'C']"
209,"Northumbria University, Newcastle",Accounting ,0,0,NE1 8ST,"['C', 'C', 'C']","['B', 'B', 'C']"
210,Norwich University of the Arts,Acting ,104,104,NR2 4SN,"['B', 'C', 'C']","['B', 'C', 'C']"
211,Nottingham Trent University,Accounting and Finance ,0,0,NG1 4FQ,[],[]
212,Nottingham College,Acting ,0,0,NG1 1NG,[],[]
213,University of Nottingham,Ancient History ,128,128,NG7 2RD,"['A', 'B', 'B']","['A', 'B', 'B']"
214,NPTC Group,Acting ,0,0,SA10 7RF,"['A', 'B', 'B']","['A', 'B', 'B']"
215,Oaklands College,Computing for England - Network Engineering (HTQ) ,0,0,AL4 0JA,"['A', 'B', 'B']","['A', 'B', 'B']"
216,University Campus Oldham,BA (Hons) Children & Young People Top-up ,0,0,OL1 1BB,"['A', 'B', 'B']","['A', 'B', 'B']"
217,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
218,Oxford Brookes University,Accounting and Economics ,0,0,OX3 0BP,"['A', 'B', 'B']","['A', 'B', 'B']"
219,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
220,University Centre Peterborough,Acting ,0,0,PE1 4DZ,"['A', 'B', 'B']","['A', 'B', 'B']"
221,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
222,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
223,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
224,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
225,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
226,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
227,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
228,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
229,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
230,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
231,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
232,University of Reading,Accounting and Finance ,128,128,RG6 6UR,"['A', 'B', 'B']","['A', 'B', 'B']"
233,University Centre Reaseheath,Animal Management (Behaviour & Welfare) ,0,0,CW5 6DF,[],[]
234,,,0,0,,[],[]
235,,,0,0,,[],[]
