SDZ21CD,SDZ21NM
N21000431,Waterside_J
N21000432,Waterside_K
N21000433,Waterside_L
N21000434,Waterside_N
N21000435,Waterside_P
N21000436,Faughan_A
N21000437,Faughan_B
N21000438,Faughan_C
N21000439,Faughan_D
N21000440,Faughan_E
N21000441,Faughan_F
N21000442,Faughan_G
N21000443,Faughan_H
N21000444,Sperrin_A
N21000445,Sperrin_B
N21000446,Sperrin_C
N21000447,Sperrin_D
N21000448,Sperrin_E
N21000449,Sperrin_F
N21000450,Sperrin_G
N21000451,Sperrin_H
N21000452,Sperrin_J
N21000453,Sperrin_K
N21000454,Derg_A
N21000455,Derg_B
N21000456,Derg_C
N21000457,Derg_D
N21000458,Derg_E
N21000459,Derg_F
N21000460,Derg_G
N21000461,Derg_H
N21000462,Erne_East_A
N21000463,Erne_East_B
N21000464,Erne_East_C
N21000465,Erne_East_D
N21000466,Erne_East_E
N21000467,Erne_East_F
N21000468,Erne_West_A
N21000469,Erne_West_B
N21000470,Erne_West_C
N21000471,Erne_West_D
N21000472,Erne_West_E
N21000473,Erne_West_F
N21000474,Enniskillen_A
N21000475,Enniskillen_B
N21000476,Enniskillen_C
N21000477,Enniskillen_D
N21000478,Enniskillen_E
N21000479,Enniskillen_F
N21000480,Enniskillen_G
N21000481,Enniskillen_H
N21000482,Erne_North_A
N21000483,Erne_North_B
N21000484,Erne_North_C
N21000485,Erne_North_D
N21000486,Erne_North_E
N21000487,Erne_North_F
N21000488,Erne_North_G
N21000489,West_Tyrone_A
N21000490,West_Tyrone_B
N21000491,West_Tyrone_C
N21000492,West_Tyrone_D
N21000493,West_Tyrone_E
N21000494,West_Tyrone_F
N21000495,West_Tyrone_G
N21000496,Omagh_A
N21000497,Omagh_B
N21000498,Omagh_C
N21000499,Omagh_D
N21000500,Omagh_E
N21000501,Omagh_F
N21000502,Omagh_G
N21000503,Omagh_H
N21000504,Mid_Tyrone_A
N21000505,Mid_Tyrone_B
N21000506,Mid_Tyrone_C
N21000507,Mid_Tyrone_D
N21000508,Mid_Tyrone_E
N21000509,Mid_Tyrone_F
N21000510,Mid_Tyrone_G
N21000511,Downshire_West_A
N21000512,Downshire_West_B
N21000513,Downshire_West_C
N21000514,Downshire_West_D
N21000515,Downshire_West_E
N21000516,Downshire_West_F
N21000517,Downshire_West_G
N21000518,Killultagh_A
N21000519,Killultagh_B
N21000520,Killultagh_C
N21000521,Killultagh_D
N21000522,Killultagh_E
N21000523,Killultagh_F
N21000524,Killultagh_G
N21000525,Killultagh_H
N21000526,Lisburn_South_A
N21000527,Lisburn_South_B
N21000528,Lisburn_South_C
N21000529,Lisburn_South_D
N21000530,Lisburn_South_E
N21000531,Lisburn_South_F
N21000532,Lisburn_South_G
N21000533,Lisburn_South_H
N21000534,Lisburn_South_J
N21000535,Lisburn_South_K
N21000536,Lisburn_North_A
N21000537,Lisburn_North_B
N21000538,Lisburn_North_C
N21000539,Lisburn_North_D
N21000540,Lisburn_North_E
N21000541,Lisburn_North_F
N21000542,Lisburn_North_G
N21000543,Lisburn_North_H
N21000544,Lisburn_North_J
N21000545,Lisburn_North_K
N21000546,Downshire_East_A
N21000547,Downshire_East_B
N21000548,Downshire_East_C
N21000549,Downshire_East_D
N21000550,Downshire_East_E
N21000551,Downshire_East_F
N21000552,Downshire_East_G
N21000553,Castlereagh_South_A
N21000554,Castlereagh_South_B
N21000555,Castlereagh_South_C
N21000556,Castlereagh_South_D
N21000557,Castlereagh_South_E
N21000558,Castlereagh_South_F
N21000559,Castlereagh_South_G
N21000560,Castlereagh_South_H
N21000561,Castlereagh_South_J
N21000562,Castlereagh_East_A
N21000563,Castlereagh_East_B
N21000564,Castlereagh_East_C
N21000565,Castlereagh_East_D
N21000566,Castlereagh_East_E
N21000567,Castlereagh_East_F
N21000568,Castlereagh_East_G
N21000569,Castlereagh_East_H
N21000570,Castlereagh_East_J
N21000571,Castlereagh_East_K
N21000572,Bannside_A
N21000573,Bannside_B
N21000574,Bannside_C
N21000575,Bannside_D
N21000576,Bannside_E
N21000577,Bannside_F
N21000578,Bannside_G
N21000579,Bannside_H
N21000580,Bannside_J
N21000581,Ballymena_A
N21000582,Ballymena_B
N21000583,Ballymena_C
N21000584,Ballymena_D
N21000585,Ballymena_E
N21000586,Ballymena_F
N21000587,Ballymena_G
N21000588,Ballymena_H
N21000589,Ballymena_J
N21000590,Ballymena_K
N21000591,Braid_A
N21000592,Braid_B
N21000593,Braid_C
N21000594,Braid_D
N21000595,Braid_E
N21000596,Braid_F
N21000597,Braid_G
N21000598,Braid_H
N21000599,Braid_J
N21000600,Braid_K
N21000601,Coast_Road_A
N21000602,Coast_Road_B
N21000603,Coast_Road_C
N21000604,Coast_Road_D
N21000605,Coast_Road_E
N21000606,Coast_Road_F
N21000607,Coast_Road_G
N21000608,Coast_Road_H
N21000609,Coast_Road_J
N21000610,Larne_Lough_A
N21000611,Larne_Lough_B
N21000612,Larne_Lough_C
N21000613,Larne_Lough_D
N21000614,Larne_Lough_E
N21000615,Larne_Lough_F
N21000616,Larne_Lough_G
N21000617,Larne_Lough_H
N21000618,Larne_Lough_J
N21000619,Carrick_Castle_A
N21000620,Carrick_Castle_B
N21000621,Carrick_Castle_C
N21000622,Carrick_Castle_D
N21000623,Carrick_Castle_E
N21000624,Carrick_Castle_F
N21000625,Carrick_Castle_G
N21000626,Carrick_Castle_H
N21000627,Carrick_Castle_J
N21000628,Knockagh_A
N21000629,Knockagh_B
N21000630,Knockagh_C
N21000631,Knockagh_D
N21000632,Knockagh_E
N21000633,Knockagh_F
N21000634,Knockagh_G
N21000635,Knockagh_H
N21000636,Knockagh_J
N21000637,Carntogher_A
N21000638,Carntogher_B
N21000639,Carntogher_C
N21000640,Carntogher_D
N21000641,Carntogher_E
N21000642,Carntogher_F
N21000643,Moyola_A
N21000644,Moyola_B
N21000645,Moyola_C
N21000646,Moyola_D
N21000647,Moyola_E
N21000648,Moyola_F
N21000649,Moyola_G
N21000650,Moyola_H
N21000651,Magherafelt_A
N21000652,Magherafelt_B
N21000653,Magherafelt_C
N21000654,Magherafelt_D
N21000655,Magherafelt_E
N21000656,Magherafelt_F
N21000657,Magherafelt_G
N21000658,Cookstown_A
N21000659,Cookstown_B
N21000660,Cookstown_C
N21000661,Cookstown_D
N21000662,Cookstown_E
N21000663,Cookstown_F
N21000664,Cookstown_G
N21000665,Cookstown_H
N21000666,Cookstown_J
N21000667,Cookstown_K
N21000668,Torrent_A
N21000669,Torrent_B
N21000670,Torrent_C
N21000671,Torrent_D
N21000672,Torrent_E
N21000673,Torrent_F
N21000674,Torrent_G
N21000675,Torrent_H
N21000676,Dungannon_A
